TotalEnvSteps,REINFORCE-seed-3,REINFORCE-seed-1,REINFORCE-seed-0
86784,8.800000191,10,14.89999962
86912,10.19999981,11.5,13.89999962
87040,11,12.10000038,14.39999962
87168,12.19999981,13.10000038,13.80000019
87296,11.19999981,13.69999981,12.39999962
87424,12,12.39999962,12.5
87552,13.10000038,12.30000019,11.69999981
87680,11.69999981,11.69999981,14.10000038
87808,11,11.39999962,17.29999924
87936,12.30000019,10.5,14.5
88064,11.39999962,10.10000038,12.5
88192,10.60000038,11.39999962,13.69999981
88320,11,13.19999981,13.39999962
88448,8.899999619,12.80000019,14.80000019
88576,9,11.39999962,15.69999981
88704,6.800000191,12.39999962,15.5
88832,8.100000381,13.89999962,12.60000038
88960,9.600000381,11.60000038,11.89999962
89088,9.899999619,10.60000038,11.19999981
89216,9.100000381,11.69999981,11.69999981
89344,3.299999952,11.10000038,12.89999962
89472,7.5,10.60000038,12.39999962
89600,9.199999809,9.399999619,12.5
89728,8.399999619,9.600000381,12.60000038
89856,7.400000095,11.39999962,10.60000038
89984,8.100000381,10.5,11.80000019
90112,8.300000191,13.60000038,11.30000019
90240,8.5,11.60000038,13
90368,11.69999981,12.19999981,13.60000038
90496,13.10000038,12.89999962,12.10000038
90624,10.5,15.10000038,11.30000019
90752,9.800000191,13.5,13.10000038
90880,9,11.30000019,14.39999962
91008,7.199999809,10.89999962,14.89999962
91136,7.300000191,11.5,15.5
91264,9.600000381,10.89999962,14.39999962
